title,combine_feature
avatar,culture clash future space war sam worthington zoe saldana sigourney weaver james cameron action adventure fantasy2 0 0 91 27 . 2
pirates of the caribbean: at world's end,ocean drug abuse exotic island johnny depp orlando bloom keira knightley gore verbinski adventure fantasy action2 0 0 756 . 9
spectre,spy based on novel secret agent daniel craig christoph waltz léa seydoux sam mendes action adventure crime2 0 1 51 06 . 3
the dark knight rises,dc comics crime fighter terrorist christian bale michael caine gary oldman christopher nolan action crime drama2 0 1 277 . 6
john carter,based on novel mars medallion taylor kitsch lynn collins samantha morton andrew stanton action adventure science fiction2 0 1 236 . 1
spider-man 3,dual identity amnesia sandstorm tobey maguire kirsten dunst james franco sam raimi fantasy action adventure2 0 0 755 . 9
tangled,hostage magic horse zachary levi mandy moore donna murphy byron howard animation family2 0 1 01 17 . 4
avengers: age of ultron,marvel comic sequel superhero robert downey jr. chris hemsworth mark ruffalo joss whedon action adventure science fiction2 0 1 547 . 3
harry potter and the half-blood prince,witch magic broom daniel radcliffe rupert grint emma watson david yates adventure fantasy family2 0 0 977 . 4
batman v superman: dawn of justice,dc comics vigilante superhero ben affleck henry cavill gal gadot zack snyder action adventure fantasy2 0 1 635 . 7
superman returns,saving the world dc comics invulnerability brandon routh kevin spacey kate bosworth bryan singer adventure fantasy action2 0 0 665 . 4
quantum of solace,killing undercover secret agent daniel craig olga kurylenko mathieu amalric marc forster adventure action thriller2 0 0 81 06 . 1
pirates of the caribbean: dead man's chest,witch fortune teller bondage johnny depp orlando bloom keira knightley gore verbinski adventure fantasy action2 0 0 667 . 0
the lone ranger,texas horse survivor johnny depp armie hammer william fichtner gore verbinski action adventure western2 0 1 375 . 9
man of steel,saving the world dc comics superhero henry cavill amy adams michael shannon zack snyder action adventure fantasy2 0 1 366 . 5
the chronicles of narnia: prince caspian,based on novel fictional place brother sister relationship ben barnes william moseley anna popplewell andrew adamson adventure family fantasy2 0 0 856 . 3
the avengers,new york shield marvel comic robert downey jr. chris evans mark ruffalo joss whedon science fiction action adventure2 0 1 247 . 4
pirates of the caribbean: on stranger tides,sea captain mutiny johnny depp penélope cruz ian mcshane rob marshall adventure action fantasy2 0 1 156 . 4
men in black 3,time travel time machine alien will smith tommy lee jones josh brolin barry sonnenfeld action comedy science fiction2 0 1 256 . 2
the hobbit: the battle of the five armies,corruption elves dwarves martin freeman ian mckellen richard armitage peter jackson action adventure fantasy2 0 1 41 27 . 1
the amazing spider-man,loss of father vigilante serum andrew garfield emma stone rhys ifans marc webb action adventure fantasy2 0 1 266 . 5
robin hood,robin hood archer knight russell crowe cate blanchett max von sydow ridley scott action adventure2 0 1 056 . 2
the hobbit: the desolation of smaug,elves dwarves orcs martin freeman ian mckellen richard armitage peter jackson adventure fantasy2 0 1 31 27 . 6
the golden compass,england compass experiment dakota blue richards nicole kidman daniel craig chris weitz adventure fantasy2 0 0 71 25 . 8
king kong,film business screenplay show business naomi watts jack black adrien brody peter jackson adventure drama action2 0 0 51 26 . 6
titanic,shipwreck iceberg ship kate winslet leonardo dicaprio frances fisher james cameron drama romance thriller1 9 9 71 17 . 5
captain america: civil war,civil war war marvel comic chris evans robert downey jr. scarlett johansson anthony russo adventure action science fiction2 0 1 647 . 1
battleship,fight u.s. navy mind reading taylor kitsch alexander skarsgård rihanna peter berg thriller action adventure2 0 1 245 . 5
jurassic world,monster dna tyrannosaurus rex chris pratt bryce dallas howard irrfan khan colin trevorrow action adventure science fiction2 0 1 566 . 5
skyfall,spy secret agent sociopath daniel craig judi dench javier bardem sam mendes action adventure thriller2 0 1 21 06 . 9
spider-man 2,dual identity love of one's life pizza boy tobey maguire kirsten dunst james franco sam raimi action adventure fantasy2 0 0 466 . 7
iron man 3,terrorist war on terror tennessee robert downey jr. gwyneth paltrow don cheadle shane black action adventure science fiction2 0 1 346 . 8
alice in wonderland,based on novel fictional place queen mia wasikowska johnny depp anne hathaway tim burton family fantasy adventure2 0 1 036 . 4
x-men: the last stand,mutant marvel comic based on comic book hugh jackman halle berry ian mckellen brett ratner adventure action science fiction2 0 0 656 . 3
monsters university,monster dormitory games billy crystal john goodman steve buscemi dan scanlon animation family2 0 1 367 . 0
transformers: revenge of the fallen,egypt sun chaos shia labeouf megan fox josh duhamel michael bay science fiction action adventure2 0 0 966 . 0
transformers: age of extinction,sequel alien transformers mark wahlberg stanley tucci kelsey grammer michael bay science fiction action adventure2 0 1 465 . 8
oz: the great and powerful,circus witch magic james franco mila kunis rachel weisz sam raimi fantasy adventure family2 0 1 335 . 7
the amazing spider-man 2,obsession marvel comic sequel andrew garfield emma stone jamie foxx marc webb action adventure fantasy2 0 1 446 . 5
tron: legacy,artificial intelligence secret identity computer program garrett hedlund jeff bridges olivia wilde joseph kosinski adventure action science fiction2 0 1 01 26 . 3
cars 2,car race sequel comedy owen wilson larry the cable guy michael caine john lasseter animation family adventure2 0 1 165 . 8
green lantern,dc comics transformation superhero ryan reynolds blake lively peter sarsgaard martin campbell adventure action thriller2 0 1 165 . 1
toy story 3,hostage college toy tom hanks tim allen ned beatty lee unkrich animation family comedy2 0 1 067 . 6
terminator salvation,saving the world artificial intelligence prophecy christian bale sam worthington anton yelchin mcg action science fiction thriller2 0 0 955 . 9
furious 7,car race speed revenge vin diesel paul walker dwayne johnson james wan action2 0 1 547 . 3
world war z,dystopia apocalypse zombie brad pitt mireille enos abigail hargrove marc forster action drama horror2 0 1 366 . 7
x-men: days of future past,1970s mutant time travel hugh jackman james mcavoy michael fassbender bryan singer action adventure fantasy2 0 1 457 . 5
star trek into darkness,spacecraft friendship sequel chris pine zachary quinto zoe saldana j.j. abrams action adventure science fiction2 0 1 357 . 4
jack the giant slayer,based on fairy tale giant nicholas hoult eleanor tomlinson ewan mcgregor bryan singer action family fantasy2 0 1 325 . 5
the great gatsby,based on novel infidelity obsession leonardo dicaprio tobey maguire carey mulligan baz luhrmann drama romance2 0 1 357 . 3
prince of persia: the sands of time,persia sandstorm brother against brother jake gyllenhaal gemma arterton ben kingsley mike newell adventure fantasy action2 0 1 056 . 2
pacific rim,dystopia giant robot giant monster idris elba charlie hunnam charlie day guillermo del toro action science fiction adventure2 0 1 376 . 7
transformers: dark of the moon,moon spacecraft traitor shia labeouf john malkovich ken jeong michael bay action science fiction adventure2 0 1 166 . 1
indiana jones and the kingdom of the crystal skull,saving the world riddle whip harrison ford cate blanchett shia labeouf steven spielberg adventure action2 0 0 855 . 7
the good dinosaur,tyrannosaurus rex friends alternate history raymond ochoa jack bright jeffrey wright peter sohn adventure animation family2 0 1 51 16 . 6
